,,,,,,,,,,,,,
,,,,,,,,Home,Browse,FAQs,Immune Signaling Pathways,Cancer Signaling Pathways,Publications
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TCR Signaling Pathway, Accession number : NetPath_11,,,,,,,,,,,
,"The T cell receptor complex includes the ligand binding TCR alpha and TCR beta chains, along with CD3 gamma, delta, epsilon and zeta subunits. This receptor complex is stimulated by antigen peptides presented by the Major Histocompatibility Complex proteins present on T cells and antigen presenting cells. Stimulation of the T cell receptor leads to the activation of NFkB and NFAT signaling modules which play a key role in T cell receptor signaling.",  Transcriptional Gene Regulation Statistics,,,,,,,,,,,
,, Upregulated genes,  449,,,,,,,,,,
,Please cite the following reference for this pathway:, Downregulated genes,  178,,,,,,,,,,
,,,,,,,,,,,,,
,"Kandasamy, K. and Mohan, SS. et al.(2010) NetPath: A public resource of curated signal transduction pathways. Genome Biology. 11:R3.[PubMed]",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,  Transcriptionally regulated genes by TCR pathway (Total = 627),,,,,,,,,,,,
,  Transcriptionally Upregulated Genes,,,,,,,,,,,,
,Gene Symbol,Experiment type,,Experiment system,PubMed,Transcription regulators,Regulator type,,,,,,
,NFKBIA,Non-Microarray; Microarray,,,,,,,,,,,
,TUBB2,Microarray,,,,,,,,,,,
,BRCA1,Microarray,,,,,,,,,,,
,BIRC5,Microarray,,,,,,,,,,,
,MYBL2,Microarray,,,,,,,,,,,
,IKBIP,Microarray,,,,,,,,,,,
,GLO1,Microarray,,,,,,,,,,,
,TRAP1,Microarray,,,,,,,,,,,
,PDCD5,Microarray,,,,,,,,,,,
,MIF,Microarray,,,,,,,,,,,
,AIFM1,Microarray,,,,,,,,,,,
,BARD1,Microarray,,,,,,,,,,,
,HMGB1,Microarray,,,,,,,,,,,
,NUDT2,Microarray,,,,,,,,,,,
,PRDX2,Microarray,,,,,,,,,,,
,SIVA,Microarray,,,,,,,,,,,
,CDK5,Microarray,,,,,,,,,,,
,HSP90B1,Microarray,,,,,,,,,,,
,NME6,Microarray,,,,,,,,,,,
,TNFRSF8,Microarray,,,,,,,,,,,
,TNFRSF18,Microarray,,,,,,,,,,,
,EEF1E1,Microarray,,,,,,,,,,,
,NME1,Microarray,,,,,,,,,,,
,AATF,Microarray,,,,,,,,,,,
,SPHK1,Microarray,,,,,,,,,,,
,HSPA9,Microarray,,,,,,,,,,,
,DHCR24,Microarray,,,,,,,,,,,
,BAG2,Microarray,,,,,,,,,,,
,TXNDC5,Microarray,,,,,,,,,,,
,BCL2L12,Microarray,,,,,,,,,,,
,EI24,Microarray,,,,,,,,,,,
,AVEN,Microarray,,,,,,,,,,,
,DNAJA3,Microarray,,,,,,,,,,,
,AIFM2,Microarray,,,,,,,,,,,
,TNFSF5,Microarray,,,,,,,,,,,
,NLRP3,Microarray,,,,,,,,,,,
,BIRC3,Microarray,,,,,,,,,,,
,PMAIP1,Microarray,,,,,,,,,,,
,TP53BP2,Microarray,,,,,,,,,,,
,STK4,Microarray,,,,,,,,,,,
,TRAF3,Microarray,,,,,,,,,,,
,TEGT,Microarray,,,,,,,,,,,
,BAG1,Microarray,,,,,,,,,,,
,CUL1,Microarray,,,,,,,,,,,
,TRIAP1,Microarray,,,,,,,,,,,
,POGK,Microarray,,,,,,,,,,,
,BMF,Microarray,,,,,,,,,,,
,TNFRSF6,Microarray,,,,"RELA, NFKB1",Transcription factor,,,,,,
,MALT1,Microarray,,,,,,,,,,,
,CASP9,Microarray,,,,,,,,,,,
,HSPA5,Microarray,,,,,,,,,,,
,TRAF6,Microarray,,,,,,,,,,,
,MCL1,Microarray,,,,,,,,,,,
,CASP6,Microarray,,,,MAF,Transcription factor,,,,,,
,PERP,Microarray,,,,,,,,,,,
,CTSB,Microarray,,,,,,,,,,,
,MAP3K14,Microarray,,,,,,,,,,,
,CARD9,Microarray,,,,,,,,,,,
,RFP2,Microarray,,,,,,,,,,,
,SEC61A1,Microarray,,,,,,,,,,,
,VAPA,Microarray,,,,,,,,,,,
,NDFIP1,Microarray,,,,,,,,,,,
,TICAM1,Microarray,,,,,,,,,,,
,MAP3K8,Microarray,,,,"BCL11B, NFKB1",Transcription factor,,,,,,
,LGALS1,Microarray,,,,,,,,,,,
,TBK1,Microarray,,,,,,,,,,,
,NFKBIL1,Microarray,,,,,,,,,,,
,ECT2,Microarray,,,,,,,,,,,
,TFG,Microarray,,,,,,,,,,,
,FKBP1A,Microarray,,,,,,,,,,,
,UBE2N,Microarray,,,,,,,,,,,
,NFKBIL2,Microarray,,,,,,,,,,,
,TRAIP,Microarray,,,,,,,,,,,
,EDARADD,Microarray,,,,,,,,,,,
,GPS1,Microarray,,,,,,,,,,,
,HRAS,Microarray,,,,,,,,,,,
,KRAS,Microarray,,,,,,,,,,,
,ADORA2B,Microarray,,,,,,,,,,,
,NRAS,Microarray,,,,,,,,,,,
,MAP4K5,Microarray,,,,,,,,,,,
